Codigo;Nombre;valor_padre
OLSEID;OLIVOS - SECUNDARIA - IDIOMAS LENGUA Y LITERATURA;SASS
OLSEOT;OLIVOS - SECUNDARIA - OTROS;SASS
VVCORCO;VIAJE CORO LA CUMBRE SECUNDARIA;ENTIDA
OHHMCD;OVER HEAD - HEAD OF SCHOOL - COMUNICACION Y DESARROLLO;SASS
OVCHINA;VIAJE A CHINA;ENTIDA
AGIRING;GIRA INGLATERRA;ENTIDA
OOTGOLF;TORNEO DE GOLF;ENTIDA
OHHMAD;OVER HEAD - HEAD OF SCHOOL - ADMISSIONS;SASS
GGGMONS;GIRA URUGUAY SECUNDARIA;ENTIDA
VCAMP6G;CAMPAMENTO 6 ° GRADO;ENTIDA
VSANTIA;VIAJE  COMMUN. SERV. A SANTIAGO DEL ESTERO;ENTIDA
OHHMAM;OVER HEAD - HEAD OF SCHOOL - ARTE Y MUSICA;SASS
AVIAJC;VIAJE CORO Y BANDA EUROPA;ENTIDA
OPIPEBA;"VIAJE ""SASS PIPE BAND""";ENTIDA
OPENDIM;PENDIENTE DE IMPUTACIÓN;ENTIDA
VLUCENA;VIAJE LA LUCENA;ENTIDA
OTHIMUN;CONFERENCIA ONU;ENTIDA
OHADRH;OVER-HEAD - ADMINISTRACIÓN - RRHH;SASS
AVIAPOR;VIAJE A PORTUGAL;ENTIDA
SFKIOT;CAMPUS - KINDER - OTROS;SASS
SFPROT;CAMPUS - PRIMARIA - OTROS;SASS
OGASREC;GASTOS A RECUPERAR;ENTIDA
OLSELE;OLIVOS - SECUNDARIA - SEGUNDA LENGUA EXTRANJERA;SASS
CSESOT;ESCUELA SECUNDARIA;SASS
GGDEEUU;GIRA DEPORTES EEUU;ENTIDA
GGGMONP;GIRA URUGUAY PRIMARIA;ENTIDA
GCODED;CODED;ENTIDA
OHBOOT;OVER HEAD - BOARD - OTROS;SASS
OHHMOT;OVER HEAD - HEAD OF SCHOOL - OTROS;SASS
OHADOT;OVER-HEAD - ADMINISTRACIÓN-OTROS;SASS
OHHMAL;OVER HEAD - HEAD OF SCHOOL - ALUMNI;SASS
OMERPAC;MERCADO PAGO COMPRAS;ENTIDA
AVIAPAR;VIAJE A PARIS;ENTIDA
SFDEOT;CAMPUS - DEPORTES - OTROS;SASS
